Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
9,130393,Luiz Gustavo,VAS,Zagueiro,mandante,5.4,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,
9,130612,Luighi,PAL,Atacante,visitante,1.5,,,,,1.0,,,,,,,,,,,,,,,
9,131617,André Silva,SAO,Atacante,mandante,11.1,,,,,1.0,2.0,,,1.0,,,,,,,,,,,
9,132071,Serna,FLU,Atacante,visitante,2.2,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,
9,132553,Jemmes,MIR,Zagueiro,visitante,9.2,,,,1.0,1.0,,,,1.0,,,,,,,,,,,
9,132580,Vinicinho,RBB,Atacante,mandante,2.8,1.0,5.0,,3.0,,,,,,,,,,,,,,,,
9,133669,Alysson,GRE,Atacante,visitante,2.0,,4.0,,,,,,,,,,,,,,,,,,
9,133673,Mateus Xavier,SAN,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,136306,Luis Otávio,INT,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,139076,Filipe Luís,FLA,Técnico,mandante,5.82,,,,,,,,,,,,,,,,,,,,
9,140365,Luca Meirelles,SAN,Atacante,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,140484,Riquelme Felipe,FLU,Atacante,visitante,0.5,,,,1.0,,1.0,,,,,,,,,,,,,,
9,140485,Isaque,FLU,Meia,visitante,3.5,,1.0,,,2.0,,,,,,,,,,,,,,,
9,140541,Lucas Ferreira,SAO,Meia,mandante,3.0,,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,
9,141160,Zé Lucas,SPT,Meia,visitante,4.1,,2.0,,,1.0,2.0,,,,,,,,,,,,,,
9,141451,Allan,PAL,Meia,visitante,4.9,,2.0,,2.0,3.0,,,,,,,,,,,,,,,
9,141452,Thalys,PAL,Atacante,visitante,0.5,,1.0,,,,,,,,,,,,,,,,,,
9,141493,Loide Augusto,VAS,Atacante,mandante,0.2,,1.0,,1.0,,,,,,,,,,,,,,,,
9,141525,Gustavo Mancha,FOR,Zagueiro,visitante,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,
9,141609,Lucca,SAO,Atacante,mandante,0.4,,2.0,,2.0,,,,,,,,,,,,,,,,
9,141754,Gabriel Bontempo,SAN,Meia,visitante,1.2,,,,1.0,1.0,,,,,,,,,,,,,,,
9,141763,Fabiano Souza,CEA,Lateral,mandante,7.5,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
9,141806,Guilherme,CEA,Atacante,mandante,4.4,,1.0,,2.0,3.0,,,,,,,,,,,,,,,
9,142004,Amuzu,GRE,Atacante,visitante,0.5,,1.0,,,,,,,,,,,,,,,,,,
9,142279,Nuno Moreira,VAS,Atacante,mandante,7.8,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,
9,37281,Mano Menezes,GRE,Técnico,visitante,2.02,,,,,,,,,,,,,,,,,,,,
9,37457,Léo Condé,CEA,Técnico,mandante,8.5,,,,,,,,,,,,,1.0,,,,,,,
9,37656,Fábio,FLU,Goleiro,visitante,-1.0,,,,,,,,,,,,1.0,,,,,,,,
9,37715,Thiago Silva,FLU,Zagueiro,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,38398,Renato Augusto,FLU,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,38913,Nenê,JUV,Meia,mandante,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
9,39148,Hulk,CAM,Atacante,visitante,0.4,,2.0,,2.0,,,,,,,,,,,,,,,,
9,39656,Alan Franco,CAM,Meia,visitante,0.9,,,,2.0,1.0,,,,,,,,,,,,,,,
9,40990,Dorival Júnior,COR,Técnico,mandante,7.38,,,,,,,,,,,,,1.0,,,,,,,
9,41929,Renato Gaúcho,FLU,Técnico,visitante,3.15,,,,,,,,,,,,,,,,,,,,
9,42222,Osvaldo,VIT,Atacante,visitante,6.4,,,1.0,2.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,
9,42234,Cássio,CRU,Goleiro,mandante,8.9,,,,,,,1.0,,,,3.0,,,,,,,,,
9,42411,Cuca,CAM,Técnico,visitante,5.69,,,,,,,,,,,,,,,,,,,,
9,42500,Fagner,CRU,Lateral,mandante,9.9,,1.0,,3.0,3.0,1.0,1.0,,,,,,,,,,,,,
9,51413,Walter,MIR,Goleiro,visitante,11.0,,,1.0,,,,,,,,10.0,1.0,,,,,,,,
9,51772,Everton Ribeiro,BAH,Meia,mandante,3.4,,5.0,,2.0,1.0,,,,,,,,,,,,,,,
9,61188,Gilberto,JUV,Atacante,mandante,-0.3,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,
9,61987,Alex Sandro,FLA,Lateral,mandante,7.2,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
9,63110,Alan Ruschel,JUV,Lateral,mandante,1.9,,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
9,68685,Alan Patrick,INT,Meia,mandante,2.7,1.0,3.0,,,,,,,,,,,,,,,,,,
9,68811,Oscar,SAO,Meia,mandante,4.9,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
9,68899,Philippe Coutinho,VAS,Meia,mandante,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,
9,68928,Rafael,SAO,Goleiro,mandante,0.6,,,1.0,,,,,,,,2.0,1.0,,,,,,,,
9,68952,Marinho,FOR,Atacante,visitante,-3.6,,,,2.0,,,,,,,,,,,,1.0,,,,
9,68991,Lucas Sasha,FOR,Meia,visitante,4.5,,,,,3.0,,,,,,,,,,,,,,,
9,68996,Willian José,BAH,Atacante,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,69140,Allan,BOT,Meia,visitante,-1.5,,2.0,1.0,5.0,,,,,,,,,,,,,,,,
9,69783,Danilo,FLA,Zagueiro,mandante,5.5,,1.0,,,,,1.0,,,,,,,,,,,,,
9,70216,Gustavo,JUV,Goleiro,mandante,5.5,,,,,,,,,,,5.0,1.0,,,,,,,,
9,70360,Eduardo Sasha,RBB,Atacante,mandante,3.2,,1.0,,1.0,2.0,,,,,,,,,,,,,,,
9,70666,Marllon,CEA,Zagueiro,mandante,5.5,,1.0,,,,,1.0,,,,,,,,,,,,,
9,70944,Bruno Henrique,INT,Meia,mandante,6.1,2.0,,,3.0,2.0,2.0,,,,,,,,,,,,,,
9,71571,Fernando Miguel,CEA,Goleiro,mandante,10.7,,1.0,,,,,1.0,,,,4.0,,,,,,,,,
9,71631,Weverton,PAL,Goleiro,visitante,0.3,,,,,,,,,,,1.0,1.0,,,,,,,,
9,71684,Gustavo Gómez,PAL,Zagueiro,visitante,4.5,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,
9,72018,Tiago Volpi,GRE,Goleiro,visitante,0.9,,,1.0,,,,,,,,3.0,2.0,,,,,,,,
9,72294,Everson,CAM,Goleiro,visitante,9.9,,2.0,,,,,1.0,,,,3.0,,,,,,,,,
9,72391,Fernando Diniz,VAS,Técnico,mandante,9.23,,,,,,,,,,,,,1.0,,,,,,,
9,72493,Alex Telles,BOT,Lateral,visitante,7.2,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
9,72583,Pedro Henrique,CEA,Atacante,mandante,0.4,,,,1.0,,1.0,,,,1.0,,,,,,,,,,
9,72605,Vitor Hugo,CAM,Zagueiro,visitante,6.5,,,,,1.0,,1.0,,,,,,,,,,,,,
9,72801,Wilker Ángel,JUV,Zagueiro,mandante,-1.3,,,1.0,1.0,,,,,,,,,,,,,,,,
9,73318,Daniel Borges,MIR,Lateral,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,73384,Samuel Xavier,FLU,Lateral,visitante,-1.4,,1.0,1.0,3.0,,,,,,,,,,,,,,,,
9,73515,Gabriel,MIR,Meia,visitante,1.3,,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,
9,74187,Rincón,SAN,Meia,visitante,7.1,,,,4.0,5.0,1.0,,,,,,,,,,,,,,
9,77485,Carrillo,COR,Meia,mandante,5.8,,1.0,,,3.0,1.0,,,,,,,,,,,,,,
9,77656,Cédric Soares,SAO,Lateral,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,77664,Sérgio Oliveira,SPT,Meia,visitante,0.5,,,1.0,,1.0,,,,,,,,,,,,,,,
9,78117,Everaldo,FLU,Atacante,visitante,2.7,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,
9,78450,Cláudio Tencati,JUV,Técnico,mandante,3.78,,,,,,,,,,,,,,,,,,,,
9,78479,Cleber Xavier,SAN,Técnico,visitante,2.73,,,,,,,,,,,,,,,,,,,,
9,78605,Gabriel,RBB,Meia,mandante,8.7,,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,,
9,78850,Reinaldo,MIR,Lateral,visitante,9.3,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,
9,79437,Roger Machado,INT,Técnico,mandante,5.07,,,,,,,,,,,,,,,,,,,,
9,79701,Lucas Silva,CRU,Meia,mandante,4.1,,1.0,,3.0,1.0,,,,,,,,,,,,1.0,,,
9,79702,Antônio Carlos,SPT,Zagueiro,visitante,-0.6,,,,2.0,,,,,,,,,,,,,,,,
9,80129,Jadson,JUV,Meia,mandante,0.9,,,,2.0,1.0,,,,,,,,,,,,,,,
9,80196,Yago Pikachu,FOR,Meia,visitante,2.7,,3.0,,1.0,1.0,,,,,,,,,,,,,,,
9,80287,Luciano,SAO,Atacante,mandante,6.8,1.0,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,
9,80313,Gilberto,BAH,Lateral,mandante,3.7,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
9,80544,Pol Fernández,FOR,Meia,visitante,2.3,,,,,1.0,1.0,,,,,,,,,,,,,,
9,80583,Lucas Lima,SPT,Meia,visitante,4.6,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,
9,81121,Lucas Mugni,CEA,Meia,mandante,12.4,,,,,3.0,,,,1.0,1.0,,,,,,,,,,
9,81845,Alisson,SAO,Meia,mandante,2.5,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
9,81881,João Ricardo,FOR,Goleiro,visitante,2.2,,,,,,,,,,,4.0,3.0,,,,,,,,
